train_idx	gen_idx	re_idx	similarity	query	train_texts	generated_texts
0	4	0	0.99998754	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은도 강수량이 얼마나 될 거 같아?
0	44	1	0.9999875	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은도 강수량 알려줘.
0	68	2	0.9999875	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 강에 비가 어느 정도 올 거 같아?
0	19	3	0.99998736	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은 강진에 비가 어느 정도 올 예정이야?
0	30	4	0.9999873	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은동에 비가 어느 정도 올 예정이야?
0	39	5	0.9999873	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 대 강서구에 비 얼만큼 내리는지 알려줘
0	94	6	0.9999873	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 대천시 강수량 알려줘.
0	22	7	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은 강진에 비가 어느 정도 올까?
0	51	8	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은 강진에 비 어느 정도 와?
0	56	9	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은도에 비가 어느 정도 올 예정이야?
0	67	10	0.99998724	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 제주에 비가 어느 정도 올 거 같아?
0	0	11	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 서울시 강서구에 비 얼만큼 내리는지 알려주겠니?
0	3	12	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 영에 비가 어느 정도 올 거 같아?
0	17	13	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은 강진에 어느 정도 비가 올지 알려줄 수 있어?
0	18	14	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은원에 비가 어느 정도 올 거 같아?
0	36	15	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은 강진에 비가 어느 정도 올 거 같아?
0	47	16	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은천군 강수량 알려줄래?
0	50	17	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 서울시 강서구에 비 얼만큼 내리는지 알려줘
0	70	18	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은 강진에 비 어느 정도 올 예정이야?
0	75	19	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 서울시 강서구에 비 얼만큼 오는지 알려줄래?
0	76	20	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은 강진에 어느 정도 비가 올지 알려줘
0	86	21	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은도에 비 어느 정도 올 예정이야?
0	87	22	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 서울시 강서구에 비 얼만큼 올지 알려줄래?
0	95	23	0.9999871	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 대전에 비가 많이 올 거 같아?
0	6	24	0.99998707	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 서울시 강서구에 비 얼만큼 내리는지 찾아봐줄래?
0	7	25	0.99998707	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은광역시 강서구에 비 얼만큼 내리는지 찾아봐
0	43	26	0.99998707	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은광역시 강서구에 비 얼만큼 내리는지 알려줘
0	60	27	0.99998707	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 서울시 강서구에 비 얼만큼 오는지 알려줘
0	66	28	0.99998707	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일 서울시 강서구에 비 얼만큼 내리는지 찾아봐
0	81	29	0.99998707	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은도에 비가 어느 정도 올 거 같아?
0	23	30	0.99998695	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은 강진에 어느 정도 비가 올지 알려주겠니?
0	24	31	0.99998695	weather.rainfall(day.p=내일,location=*)	내일 설악산 비 어느 정도 와?	내일은천시 강서구에 비 어느 정도 올지 알려줘
